#Software: Microsoft Internet Information Server 4.0
#Version: 1.0
#Date: 2004-03-30 01:32:28
#Fields: date time c-ip cs-username s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query sc-status sc-win32-status sc-bytes cs-bytes time-taken s-port cs-version cs(User-Agent) cs(Cookie) cs(Referer)
2004-03-30 02:55:56 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/down_bg.gif - 200 0 389 305 1250 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:58 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/down01.jpg - 200 0 13039 309 3016 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:58 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but01b.gif - 200 0 648 308 344 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:58 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but02b.gif - 200 0 781 308 500 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:58 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but05b.gif - 200 0 801 308 578 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:58 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but06b.gif - 200 0 804 308 421 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:59 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but07b.gif - 200 0 805 308 390 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:59 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but08b.gif - 200 0 674 308 500 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:59 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but09b.gif - 200 0 803 308 422 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:59 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but10b.gif - 200 0 713 308 407 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
